samples,test_auroc_run1,test_auroc_run2,test_auroc_run3
100,0.8960884213447571,0.8896127939224243,0.8929408192634583
200,0.9044481515884399,0.8998178243637085,0.903353214263916
400,0.9179674386978149,0.9171324372291565,0.9155256748199463
600,0.9229331016540527,0.9219922423362732,0.9200624823570251
800,0.9225977063179016,0.9246289134025574,0.9241794943809509
1000,0.9270921349525452,0.9270015358924866,0.9270533323287964
2000,0.9312822818756104,0.9296968579292297,0.9322392344474792
2380,0.9334970116615295,0.9331008791923523,0.9311212301254272
