samples,test_ious_run1,test_ious_run3,test_ious_run2
100,31.50396728515625,30.630569458007812,31.040802001953125
200,34.720008850097656,35.198638916015625,35.49571990966797
400,38.774169921875,38.8040771484375,39.507511138916016
600,41.83482360839844,42.35957336425781,40.6232795715332
800,45.25757598876953,46.384193420410156,44.544471740722656
1000,47.35235595703125,46.96116638183594,45.277591705322266
2000,51.677772521972656,51.48736572265625,51.349586486816406
2380,53.574546813964844,51.130706787109375,53.23877716064453
