samples,test_ious_run1,test_ious_run2,test_ious_run3
100,31.423864364624023,28.804380416870117,31.232776641845703
200,35.44447326660156,37.77598571777344,37.12302780151367
400,42.77983474731445,42.76512145996094,42.40412521362305
600,45.19658660888672,46.64424133300781,45.5810546875
800,48.54328536987305,46.6296272277832,48.85267639160156
1000,48.975135803222656,49.11841583251953,48.86104965209961
2000,52.21037673950195,52.995361328125,51.86786651611328
2380,53.18290328979492,53.77869415283203,52.745269775390625
