samples,test_ious_run1,test_ious_run2,test_ious_run3
100,29.16254234313965,30.458066940307617,29.592981338500977
200,35.73612594604492,36.4321174621582,36.007904052734375
400,40.21409606933594,41.45954895019531,40.741966247558594
600,43.166297912597656,43.45456314086914,43.37395477294922
800,46.70604705810547,45.30835723876953,45.75714874267578
1000,47.55809020996094,49.0412483215332,47.09098815917969
2000,52.29807662963867,51.58207702636719,52.34202575683594
2380,53.53246307373047,53.25849533081055,52.82246398925781
