samples,test_auroc_run1,test_auroc_run2,test_auroc_run3
100,0.7338830232620239,0.7741146683692932,0.6477519273757935
200,0.7141727805137634,0.7905628681182861,0.7854437828063965
400,0.7309496402740479,0.7746697664260864,0.48158934712409973
600,0.8157356977462769,0.7929590940475464,0.796487033367157
800,0.8090947270393372,0.7746967673301697,0.7766412496566772
1000,0.7193127870559692,0.7950887680053711,0.5099687576293945
2000,0.800527036190033,0.7926834225654602,0.8057085275650024
2380,0.7997179627418518,0.7960968017578125,0.7944990992546082
