samples,test_auroc_run1,test_auroc_run2,test_auroc_run3
100,0.7333270907402039,0.7925347089767456,0.7459226846694946
200,0.7621111273765564,0.7801569700241089,0.7886843085289001
400,0.7651491761207581,0.7922502756118774,0.7702703475952148
600,0.7548587918281555,0.7814747095108032,0.789421021938324
800,0.7808651924133301,0.7821648716926575,0.7947174310684204
1000,0.7890435457229614,0.7690176367759705,0.7278206944465637
2000,0.7891086339950562,0.7632418274879456,0.7792644500732422
2380,0.7793198227882385,0.7629446983337402,0.7838770151138306
