samples,test_ious_run1,test_ious_run2,test_ious_run3
100,31.832408905029297,30.20796012878418,31.382408142089844
200,36.90719985961914,36.151023864746094,37.20140075683594
400,43.15911102294922,42.581050872802734,41.62992858886719
600,45.69643020629883,46.18085861206055,45.2994384765625
800,47.23899459838867,47.3885612487793,47.36178207397461
1000,48.853111267089844,48.704505920410156,48.879493713378906
2000,51.608707427978516,51.38636779785156,52.62948989868164
2380,53.44060516357422,54.035255432128906,52.30488967895508
