samples,test_ious_run1,test_ious_run2,test_ious_run3
100,31.9024600982666,30.085657119750977,31.232776641845703
200,35.907066345214844,36.28995895385742,35.60849380493164
400,41.57747268676758,40.95521545410156,41.48604965209961
600,44.94834899902344,43.84502410888672,43.165618896484375
800,45.643428802490234,46.02173614501953,45.56194305419922
1000,48.304466247558594,47.26799011230469,46.15416717529297
2000,52.043148040771484,51.455718994140625,52.46941375732422
2380,53.376304626464844,52.455787658691406,54.046104431152344
