samples,test_ious_run1,test_ious_run2,test_ious_run3
100,31.423864364624023,28.804380416870117,31.64375114440918
200,36.19316864013672,37.050594329833984,34.993019104003906
400,40.701805114746094,41.39073181152344,40.21984100341797
600,43.728084564208984,45.00834655761719,44.00007629394531
800,45.7701416015625,46.9904670715332,44.872257232666016
1000,47.19247817993164,47.89948654174805,48.22216033935547
2000,52.46028518676758,51.863548278808594,52.59450149536133
2380,53.52091598510742,52.63202667236328,53.91111373901367
