samples,test_auroc_run1,test_auroc_run2,test_auroc_run3
100,0.47491514682769775,0.462627649307251,0.40713804960250854
200,0.39397698640823364,0.3962137699127197,0.36541181802749634
400,0.3492453396320343,0.38483184576034546,0.3363588750362396
600,0.4153650403022766,0.40521717071533203,0.30437377095222473
800,0.3743191063404083,0.3608524203300476,0.31837719678878784
1000,0.3403383195400238,0.5774560570716858,0.3056604266166687
2000,0.3080853521823883,0.5284820795059204,0.43300768733024597
2380,0.33954042196273804,0.37393972277641296,0.3308514654636383
