samples,test_auroc_run1,test_auroc_run2,test_auroc_run3
100,0.767747700214386,0.7981261014938354,0.765767217
200,0.7879884839057922,0.7773134708404541,0.750974417
400,0.7741551995277405,0.7991992235183716,0.781978488
600,0.7463489174842834,0.7799919247627258,0.76646173
800,0.7684378623962402,0.7852666974067688,0.763442099
1000,0.7933081984519958,0.7747209668159485,0.781601429
2000,0.7656849026679993,0.7838451266288757,0.784968257
2380,0.777944803237915,0.7774501442909241,0.775161982
