samples,test_auroc_run1,test_auroc_run2,test_auroc_run3
100,0.890976071357727,0.8849083185195923,0.8975405097007751
200,0.9035167694091797,0.9070563316345215,0.906559944152832
400,0.9164122343063354,0.9168058037757874,0.9170892238616943
600,0.921382486820221,0.9208345413208008,0.9230583906173706
800,0.9246944189071655,0.9226493239402771,0.9261993765830994
1000,0.9258788824081421,0.9261170625686646,0.9275194406509399
2000,0.9309937357902527,0.9316217303276062,0.9310276508331299
2380,0.9318572282791138,0.9324443340301514,0.9319247603416443
