samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.13146895170211792,2.262075901031494,0.7144097089767456,0.8664466142654419,0.22472134232521057,3.616633176803589,0.17585588991641998,2.2195053100585938,0.7022569179534912,0.7369489669799805,0.24303343892097473,3.4752345085144043,0.1521695852279663,2.2591898441314697,0.7083333730697632,0.8433153629302979,0.2291998416185379,3.3028805255889893
200,0.29199841618537903,2.0855712890625,0.57421875,1.2320672273635864,0.3052348792552948,2.1993322372436523,0.3000597059726715,2.0590131282806396,0.64453125,1.1277999877929688,0.2947850227355957,2.1820547580718994,0.2728901207447052,2.142672538757324,0.6015625,1.2125359773635864,0.265625,2.2650198936462402
400,0.31488853693008423,1.8988754749298096,0.5401785969734192,1.2751342058181763,0.3326035141944885,2.166175365447998,0.33907246589660645,1.8639775514602661,0.5982142686843872,1.0115249156951904,0.36534634232521057,2.109950065612793,0.334494411945343,1.968559741973877,0.6674107313156128,0.8872721791267395,0.35370221734046936,2.171182632446289
600,0.39848726987838745,1.8392916917800903,0.7906249761581421,0.5972593426704407,0.41212180256843567,2.1347060203552246,0.3448447585105896,1.8240562677383423,0.573437511920929,1.1361796855926514,0.3603702187538147,2.3386623859405518,0.4039609730243683,1.8436553478240967,0.7895833253860474,0.6026193499565125,0.3904259502887726,2.2025084495544434
800,0.42535826563835144,1.6349283456802368,0.7271634340286255,0.7625916004180908,0.4551154375076294,1.7203497886657715,0.403164803981781,1.7397356033325195,0.7247596383094788,0.7518114447593689,0.43093153834342957,1.8916583061218262,0.3572850227355957,1.745160698890686,0.5396634340286255,1.215997576713562,0.37360668182373047,1.9940327405929565
1000,0.4320262670516968,1.5866155624389648,0.701953113079071,0.8127275705337524,0.4730294644832611,1.674844741821289,0.45660826563835144,1.6390153169631958,0.7982422113418579,0.5711831450462341,0.446954607963562,2.0096421241760254,0.39530253410339355,1.6849769353866577,0.561718761920929,1.1520897150039673,0.4325238764286041,1.843698501586914
2000,0.5528463125228882,1.336920142173767,0.75048828125,0.668456494808197,0.5584195852279663,1.474790334701538,0.5461783409118652,1.3071179389953613,0.75537109375,0.6625533103942871,0.5663813948631287,1.4102283716201782,0.5472730994224548,1.3442716598510742,0.74951171875,0.7273351550102234,0.5467754602432251,1.5292471647262573
4000,0.6343550682067871,1.0740694999694824,0.7767857313156128,0.6186901926994324,0.6440087556838989,1.147070050239563,0.6436106562614441,1.069877028465271,0.7953869104385376,0.5519290566444397,0.6398288011550903,1.2079428434371948,0.6296775341033936,1.0648685693740845,0.7676091194152832,0.6484445333480835,0.643909215927124,1.1085708141326904
6000,0.687300980091095,0.9372596740722656,0.8023603558540344,0.5606829524040222,0.7061106562614441,0.9589810967445374,0.687300980091095,0.9232240915298462,0.8149933218955994,0.5219727158546448,0.6927746534347534,0.9964810609817505,0.6802348494529724,0.9304006695747375,0.786901593208313,0.5898638963699341,0.6912818551063538,0.9615848660469055
8000,0.718949019908905,0.8383433222770691,0.8182500004768372,0.5160132646560669,0.7349721193313599,0.8672412633895874,0.7258160710334778,0.8226985931396484,0.8181250095367432,0.5052554607391357,0.7240246534347534,0.869500994682312,0.7266122698783875,0.8304506540298462,0.8166249990463257,0.5091724991798401,0.7339769005775452,0.8412349224090576
10000,0.7430334687232971,0.7631330490112305,0.8162818551063538,0.5064300298690796,0.7570660710334778,0.7594597935676575,0.7447253465652466,0.7668574452400208,0.8415604829788208,0.4461950361728668,0.7495023608207703,0.7950143218040466,0.7427348494529724,0.7634671926498413,0.8150875568389893,0.5104931592941284,0.7526870965957642,0.7751356959342957
20000,0.803244411945343,0.5958288908004761,0.8578773736953735,0.3995378613471985,0.8117038011550903,0.5926625728607178,0.8047372698783875,0.5963748097419739,0.8663138747215271,0.3909338712692261,0.809215784072876,0.5889592170715332,0.8044387102127075,0.6008254885673523,0.8575778603553772,0.40419667959213257,0.8171775341033936,0.5955461859703064
30000,0.8399681448936462,0.5049900412559509,0.8698916435241699,0.363826721906662,0.8411624431610107,0.49495136737823486,0.8291202187538147,0.5183550715446472,0.8715574145317078,0.36326342821121216,0.8362858295440674,0.5033973455429077,0.8357881903648376,0.5030778646469116,0.8702914714813232,0.3733283281326294,0.8427547812461853,0.487152636051178
40000,0.847332775592804,0.4705328941345215,0.8723250031471252,0.36036598682403564,0.8548964858055115,0.4396234154701233,0.8535031676292419,0.457755982875824,0.8760250210762024,0.3529057502746582,0.8460389971733093,0.46203944087028503,0.8531050682067871,0.4556633532047272,0.8722749948501587,0.35854071378707886,0.8525079488754272,0.4561583995819092
