samples,test_accuracy_run1,test_losses_run1,train_accuracy_run1,train_losses_run1,val_accuracy_run1,val_losses_run1,test_accuracy_run2,test_losses_run2,train_accuracy_run2,train_losses_run2,val_accuracy_run2,val_losses_run2,test_accuracy_run3,test_losses_run3,train_accuracy_run3,train_losses_run3,val_accuracy_run3,val_losses_run3
100,0.2146695852279663,2.2054343223571777,0.7578125,1.6690857410430908,0.24323248863220215,3.4319403171539307,0.19914411008358002,2.204606294631958,0.6328125,1.9036023616790771,0.2063097059726715,4.142035007476807,0.12778662145137787,2.283449411392212,0.7126736044883728,1.860182285308838,0.22233280539512634,3.2249832153320312
200,0.14759156107902527,2.2634363174438477,0.37890625,2.79654860496521,0.22730891406536102,2.497779369354248,0.15963375568389893,2.2710797786712646,0.4296875,2.566394805908203,0.23835588991641998,2.4565141201019287,0.1978503167629242,2.238952159881592,0.37109375,2.574024200439453,0.22312897443771362,3.211169481277466
400,0.32752788066864014,1.9851410388946533,0.6741071343421936,1.7028802633285522,0.3353901207447052,2.106135129928589,0.3269307315349579,1.993865728378296,0.7276785969734192,1.6296604871749878,0.3398686349391937,2.245600938796997,0.27766719460487366,2.103696346282959,0.5714285969734192,2.1003875732421875,0.2851313650608063,2.4894630908966064
600,0.38077229261398315,1.8539694547653198,0.7906249761581421,1.3581860065460205,0.39132165908813477,2.038332223892212,0.33608677983283997,1.8280421495437622,0.5718749761581421,2.076538324356079,0.35997211933135986,2.1228232383728027,0.3396695852279663,1.9030287265777588,0.7395833730697632,1.5725213289260864,0.365744411945343,2.1209516525268555
800,0.36494824290275574,1.8061332702636719,0.6286057829856873,1.6687308549880981,0.40137341618537903,1.8654240369796753,0.3956011235713959,1.718459963798523,0.760817289352417,1.5029025077819824,0.412619411945343,1.8818312883377075,0.350119411945343,1.8886419534683228,0.667067289352417,1.6774789094924927,0.39729300141334534,1.9279991388320923
1000,0.4325238764286041,1.7243430614471436,0.769335925579071,1.24357008934021,0.44735270738601685,1.9595690965652466,0.42555731534957886,1.6761687994003296,0.7816406488418579,1.3393807411193848,0.4334195852279663,1.9767372608184814,0.3782842457294464,1.742347240447998,0.689453125,1.5621895790100098,0.4272491931915283,1.872679352760315
2000,0.5400079488754272,1.347516655921936,0.7353515625,1.256907343864441,0.5420979261398315,1.500794768333435,0.5077627301216125,1.4101810455322266,0.712890625,1.3359575271606445,0.5109474658966064,1.560136079788208,0.5236862897872925,1.394713044166565,0.75244140625,1.2662088871002197,0.5301552414894104,1.5570883750915527
4000,0.6259952187538147,1.0862983465194702,0.7403273582458496,1.2204127311706543,0.6362460255622864,1.138441562652588,0.6238057613372803,1.087516188621521,0.7309027910232544,1.2345694303512573,0.6315684914588928,1.1394625902175903,0.6304737329483032,1.065051794052124,0.7529761791229248,1.193537712097168,0.6416202187538147,1.1425325870513916
6000,0.6818272471427917,0.950701892375946,0.7631316781044006,1.1155060529708862,0.6889928579330444,0.9764143824577332,0.6848129034042358,0.9163644313812256,0.7477282881736755,1.164874792098999,0.6807324886322021,0.9971702098846436,0.6769506335258484,0.9489527344703674,0.7342641949653625,1.191688895225525,0.6915804147720337,0.9838892221450806
8000,0.7235270738601685,0.8432900905609131,0.7636250257492065,1.0983275175094604,0.71875,0.8667669892311096,0.7147691249847412,0.8293319940567017,0.7366250157356262,1.192284345626831,0.715465784072876,0.868969202041626,0.7137739062309265,0.8323015570640564,0.7318750023841858,1.1810202598571777,0.7269108295440674,0.8405500054359436
10000,0.7506966590881348,0.7349526882171631,0.7449243664741516,1.1235699653625488,0.7490047812461853,0.747791051864624,0.7416401505470276,0.7679502367973328,0.7362658977508545,1.1556509733200073,0.7428343892097473,0.7710167169570923,0.7439291477203369,0.7665243148803711,0.7547770738601685,1.1016148328781128,0.7529856562614441,0.7615336775779724
20000,0.8141918778419495,0.5632520318031311,0.7807508111000061,0.9760728478431702,0.8200637102127075,0.5235471129417419,0.8128980994224548,0.5642709732055664,0.7936801314353943,0.9367741346359253,0.8171775341033936,0.5595975518226624,0.8154856562614441,0.5613342523574829,0.7882887125015259,0.9420745968818665,0.8211584687232971,0.5524855852127075
30000,0.8356887102127075,0.49813494086265564,0.8243492841720581,0.8204187154769897,0.8464370965957642,0.4691305458545685,0.8322054147720337,0.49648794531822205,0.8333998918533325,0.8051874041557312,0.8391719460487366,0.4831371009349823,0.8425557613372803,0.48877155780792236,0.8337219953536987,0.7998254895210266,0.8449442386627197,0.472983717918396
40000,0.8463375568389893,0.4729642868041992,0.868399977684021,0.6760757565498352,0.8540008068084717,0.44440728425979614,0.8449442386627197,0.4676226079463959,0.866225004196167,0.6811107993125916,0.847034215927124,0.45544394850730896,0.840167224407196,0.48343566060066223,0.8672000169754028,0.6734663248062134,0.8502189517021179,0.4593256711959839
